date,rank,id,symbol,name,slug,price
2024-Jan-20 21:30:07,7,3408,USDC,USDC,usd-coin,83.12810286349165
2024-Jan-20 21:30:07,8,2010,ADA,Cardano,cardano,42.475786907400824
2024-Jan-20 21:30:07,9,5805,AVAX,Avalanche,avalanche,2703.090107831806
2024-Jan-20 21:30:07,10,74,DOGE,Dogecoin,dogecoin,6.584673456537766
2024-Jan-20 21:30:07,11,1958,TRX,TRON,tron,9.144703615207979
2024-Jan-20 21:30:07,12,1975,LINK,Chainlink,chainlink,1312.187789324818
2024-Jan-20 21:30:07,13,6636,DOT,Polkadot,polkadot-new,570.7260308657039
2024-Jan-20 21:30:07,14,11419,TON,Toncoin,toncoin,185.7445962184163
2024-Jan-20 21:30:07,15,3890,MATIC,Polygon,polygon,64.41924440613113
2024-Jan-20 21:31:08,1,1,BTC,Bitcoin,bitcoin,3453021.788053651
2024-Jan-20 21:31:08,2,1027,ETH,Ethereum,ethereum,204679.63903680368
2024-Jan-20 21:31:08,3,825,USDT,Tether USDt,tether,83.07071846035544
2024-Jan-20 21:31:08,4,1839,BNB,BNB,bnb,26082.896834982195
2024-Jan-20 21:31:08,5,5426,SOL,Solana,solana,7562.533017182038
2024-Jan-20 21:31:08,6,52,XRP,XRP,xrp,45.549030301482986
2024-Jan-20 21:31:08,7,3408,USDC,USDC,usd-coin,83.12797342380175
2024-Jan-20 21:31:08,8,2010,ADA,Cardano,cardano,42.47405933091438
2024-Jan-20 21:31:08,9,5805,AVAX,Avalanche,avalanche,2701.118881026225
2024-Jan-20 21:31:08,10,74,DOGE,Dogecoin,dogecoin,6.584534562650534
2024-Jan-20 21:31:08,11,1958,TRX,TRON,tron,9.144560564176695
2024-Jan-20 21:31:08,12,1975,LINK,Chainlink,chainlink,1310.8769968634708
2024-Jan-20 21:31:08,13,6636,DOT,Polkadot,polkadot-new,570.6277737129799
2024-Jan-20 21:31:08,14,11419,TON,Toncoin,toncoin,185.7369154788352
2024-Jan-20 21:31:08,15,3890,MATIC,Polygon,polygon,64.4061087873883
2024-Jan-20 21:32:09,1,1,BTC,Bitcoin,bitcoin,3452898.840331798
2024-Jan-20 21:32:09,2,1027,ETH,Ethereum,ethereum,204647.68349727092
2024-Jan-20 21:32:09,3,825,USDT,Tether USDt,tether,83.0688067877471
2024-Jan-20 21:32:09,4,1839,BNB,BNB,bnb,26081.5675187995
2024-Jan-20 21:32:09,5,5426,SOL,Solana,solana,7557.583772751958
2024-Jan-20 21:32:09,6,52,XRP,XRP,xrp,45.545035082986765
2024-Jan-20 21:32:09,7,3408,USDC,USDC,usd-coin,83.12463820524151
2024-Jan-20 21:32:09,8,2010,ADA,Cardano,cardano,42.471017464703046
2024-Jan-20 21:32:09,9,5805,AVAX,Avalanche,avalanche,2701.0715586877977
2024-Jan-20 21:32:09,10,74,DOGE,Dogecoin,dogecoin,6.583943926486585
2024-Jan-20 21:32:09,11,1958,TRX,TRON,tron,9.144690118465217
2024-Jan-20 21:32:09,12,1975,LINK,Chainlink,chainlink,1310.289790603118
2024-Jan-20 21:32:09,13,6636,DOT,Polkadot,polkadot-new,570.5631292586872
2024-Jan-20 21:32:09,14,11419,TON,Toncoin,toncoin,185.77023610140748
2024-Jan-20 21:32:09,15,3890,MATIC,Polygon,polygon,64.39908569183977
2024-Jan-20 21:33:10,1,1,BTC,Bitcoin,bitcoin,3453763.877003036
2024-Jan-20 21:33:10,2,1027,ETH,Ethereum,ethereum,204774.39601341647
2024-Jan-20 21:33:10,3,825,USDT,Tether USDt,tether,83.06884521444903
2024-Jan-20 21:33:10,4,1839,BNB,BNB,bnb,26083.197458697763
2024-Jan-20 21:33:10,5,5426,SOL,Solana,solana,7549.2735145489205
2024-Jan-20 21:33:10,6,52,XRP,XRP,xrp,45.53501263778686
2024-Jan-20 21:33:10,7,3408,USDC,USDC,usd-coin,83.1424268151203
2024-Jan-20 21:33:10,8,2010,ADA,Cardano,cardano,42.46928618326244
2024-Jan-20 21:33:10,9,5805,AVAX,Avalanche,avalanche,2700.115886475997
2024-Jan-20 21:33:10,10,74,DOGE,Dogecoin,dogecoin,6.583112217570578
2024-Jan-20 21:33:10,11,1958,TRX,TRON,tron,9.144130615318703
2024-Jan-20 21:33:10,12,1975,LINK,Chainlink,chainlink,1309.7685793395071
2024-Jan-20 21:33:10,13,6636,DOT,Polkadot,polkadot-new,570.4562162992581
2024-Jan-20 21:33:10,14,11419,TON,Toncoin,toncoin,185.85092247377253
2024-Jan-20 21:33:10,15,3890,MATIC,Polygon,polygon,64.38034993886659
2024-Jan-20 21:34:11,1,1,BTC,Bitcoin,bitcoin,3452708.3846094552
2024-Jan-20 21:34:11,2,1027,ETH,Ethereum,ethereum,204687.72265579258
2024-Jan-20 21:34:11,3,825,USDT,Tether USDt,tether,83.08387616386543
2024-Jan-20 21:34:11,4,1839,BNB,BNB,bnb,26084.462588937622
2024-Jan-20 21:34:11,5,5426,SOL,Solana,solana,7552.797808436168
2024-Jan-20 21:34:11,6,52,XRP,XRP,xrp,45.53842354640136
2024-Jan-20 21:34:11,7,3408,USDC,USDC,usd-coin,83.12091562138244
2024-Jan-20 21:34:11,8,2010,ADA,Cardano,cardano,42.466097491349345
2024-Jan-20 21:34:11,9,5805,AVAX,Avalanche,avalanche,2697.817219706946
2024-Jan-20 21:34:11,10,74,DOGE,Dogecoin,dogecoin,6.583455237351799
2024-Jan-20 21:34:11,11,1958,TRX,TRON,tron,9.142664382933882
2024-Jan-20 21:34:11,12,1975,LINK,Chainlink,chainlink,1308.7425012750166
2024-Jan-20 21:34:11,13,6636,DOT,Polkadot,polkadot-new,570.1786111066035
2024-Jan-20 21:34:11,14,11419,TON,Toncoin,toncoin,185.85235521002707
2024-Jan-20 21:34:11,15,3890,MATIC,Polygon,polygon,64.33061339247962
2024-Jan-20 21:35:12,1,1,BTC,Bitcoin,bitcoin,3453178.7493246933
2024-Jan-20 21:35:12,2,1027,ETH,Ethereum,ethereum,204704.10523117785
2024-Jan-20 21:35:12,3,825,USDT,Tether USDt,tether,83.05946384092037
2024-Jan-20 21:35:12,4,1839,BNB,BNB,bnb,26091.784049813396
2024-Jan-20 21:35:12,5,5426,SOL,Solana,solana,7554.108551261836
2024-Jan-20 21:35:12,6,52,XRP,XRP,xrp,45.53348527474419
2024-Jan-20 21:35:12,7,3408,USDC,USDC,usd-coin,83.12157570509649
2024-Jan-20 21:35:12,8,2010,ADA,Cardano,cardano,42.46932501270228
2024-Jan-20 21:35:12,9,5805,AVAX,Avalanche,avalanche,2698.2502184465548
2024-Jan-20 21:35:12,10,74,DOGE,Dogecoin,dogecoin,6.58484185213787
2024-Jan-20 21:35:12,11,1958,TRX,TRON,tron,9.143241306846091
2024-Jan-20 21:35:12,12,1975,LINK,Chainlink,chainlink,1308.8132273224492
2024-Jan-20 21:35:12,13,6636,DOT,Polkadot,polkadot-new,570.2321552377524
2024-Jan-20 21:35:12,14,11419,TON,Toncoin,toncoin,185.90555725481744
2024-Jan-20 21:35:12,15,3890,MATIC,Polygon,polygon,64.33508360849682
2024-Jan-20 21:36:16,1,1,BTC,Bitcoin,bitcoin,3452944.8108906527
2024-Jan-20 21:36:16,2,1027,ETH,Ethereum,ethereum,204685.13190533736
2024-Jan-20 21:36:16,3,825,USDT,Tether USDt,tether,83.05795772823406
2024-Jan-20 21:36:16,4,1839,BNB,BNB,bnb,26084.4897785273
2024-Jan-20 21:36:16,5,5426,SOL,Solana,solana,7555.112277748583
